state,date,sex,age,ethnicity,population,area,year,Population_absolute
Kedah,01/01/2006,both,overall,overall,1847.5,9500,2006,1847500
Kelantan,01/01/2006,both,overall,overall,1507.6,15099,2006,1507600
Melaka,01/01/2006,both,overall,overall,755,1664,2006,755000
Negeri Sembilan,01/01/2006,both,overall,overall,967,6686,2006,967000
Pahang,01/01/2006,both,overall,overall,1421.2,36137,2006,1421200
Perak,01/01/2006,both,overall,overall,2279.3,21035,2006,2279300
Perlis,01/01/2006,both,overall,overall,224.4,821,2006,224400
Pulau Pinang,01/01/2006,both,overall,overall,1484.1,1048,2006,1484100
Sabah,01/01/2006,both,overall,overall,2962.9,73631,2006,2962900
Sarawak,01/01/2006,both,overall,overall,2324.9,124450,2006,2324900
Selangor,01/01/2006,both,overall,overall,4986.2,8104,2006,4986200
Terengganu,01/01/2006,both,overall,overall,995.9,13035,2006,995900
Kuala Lumpur,01/01/2006,both,overall,overall,1577.5,243,2006,1577500
Labuan,01/01/2006,both,overall,overall,82,91,2006,82000
Johor,01/01/2007,both,overall,overall,3193.5,19210,2007,3193500
Kedah,01/01/2007,both,overall,overall,1874.2,9500,2007,1874200
Kelantan,01/01/2007,both,overall,overall,1529.1,15099,2007,1529100
Melaka,01/01/2007,both,overall,overall,772.8,1664,2007,772800
Negeri Sembilan,01/01/2007,both,overall,overall,983.5,6686,2007,983500
Pahang,01/01/2007,both,overall,overall,1441.4,36137,2007,1441400
Perak,01/01/2007,both,overall,overall,2306.4,21035,2007,2306400
Perlis,01/01/2007,both,overall,overall,227.2,821,2007,227200
Pulau Pinang,01/01/2007,both,overall,overall,1507.8,1048,2007,1507800
Sabah,01/01/2007,both,overall,overall,3032.3,73631,2007,3032300
Sarawak,01/01/2007,both,overall,overall,2366.1,124450,2007,2366100
Selangor,01/01/2007,both,overall,overall,5127.1,8104,2007,5127100
Terengganu,01/01/2007,both,overall,overall,1010.4,13035,2007,1010400
Kuala Lumpur,01/01/2007,both,overall,overall,1603.3,243,2007,1603300
Labuan,01/01/2007,both,overall,overall,83.2,91,2007,83200
Johor,01/01/2008,both,overall,overall,3252.3,19210,2008,3252300
Kedah,01/01/2008,both,overall,overall,1900.2,9500,2008,1900200
Kelantan,01/01/2008,both,overall,overall,1549.8,15099,2008,1549800
Melaka,01/01/2008,both,overall,overall,790.5,1664,2008,790500
Negeri Sembilan,01/01/2008,both,overall,overall,999.6,6686,2008,999600
Pahang,01/01/2008,both,overall,overall,1461.6,36137,2008,1461600
Perak,01/01/2008,both,overall,overall,2331.6,21035,2008,2331600
Perlis,01/01/2008,both,overall,overall,230.1,821,2008,230100
Pulau Pinang,01/01/2008,both,overall,overall,1531.3,1048,2008,1531300
Sabah,01/01/2008,both,overall,overall,3105.1,73631,2008,3105100
Sarawak,01/01/2008,both,overall,overall,2408.4,124450,2008,2408400
Selangor,01/01/2008,both,overall,overall,5268.5,8104,2008,5268500
Terengganu,01/01/2008,both,overall,overall,1025.2,13035,2008,1025200
Kuala Lumpur,01/01/2008,both,overall,overall,1628.9,243,2008,1628900
Labuan,01/01/2008,both,overall,overall,84.6,91,2008,84600
Johor,01/01/2009,both,overall,overall,3309.4,19210,2009,3309400
Kedah,01/01/2009,both,overall,overall,1925.3,9500,2009,1925300
Kelantan,01/01/2009,both,overall,overall,1570,15099,2009,1570000
Melaka,01/01/2009,both,overall,overall,807.8,1664,2009,807800
Negeri Sembilan,01/01/2009,both,overall,overall,1014.9,6686,2009,1014900
Pahang,01/01/2009,both,overall,overall,1481.7,36137,2009,1481700
Perak,01/01/2009,both,overall,overall,2355.7,21035,2009,2355700
Perlis,01/01/2009,both,overall,overall,233,821,2009,233000
Pulau Pinang,01/01/2009,both,overall,overall,1554.3,1048,2009,1554300
Sabah,01/01/2009,both,overall,overall,3181.1,73631,2009,3181100
Sarawak,01/01/2009,both,overall,overall,2450.8,124450,2009,2450800
Selangor,01/01/2009,both,overall,overall,5417.8,8104,2009,5417800
Terengganu,01/01/2009,both,overall,overall,1040.7,13035,2009,1040700
Kuala Lumpur,01/01/2009,both,overall,overall,1652.8,243,2009,1652800
Labuan,01/01/2009,both,overall,overall,86.3,91,2009,86300
Johor,01/01/2010,both,overall,overall,3362.9,19210,2010,3362900
Kedah,01/01/2010,both,overall,overall,1949.3,9500,2010,1949300
Kelantan,01/01/2010,both,overall,overall,1589.9,15099,2010,1589900
Melaka,01/01/2010,both,overall,overall,823.6,1664,2010,823600
Negeri Sembilan,01/01/2010,both,overall,overall,1029.5,6686,2010,1029500
Pahang,01/01/2010,both,overall,overall,1501.9,36137,2010,1501900
Perak,01/01/2010,both,overall,overall,2379,21035,2010,2379000
Perlis,01/01/2010,both,overall,overall,235.8,821,2010,235800
Pulau Pinang,01/01/2010,both,overall,overall,1575.9,1048,2010,1575900
Sabah,01/01/2010,both,overall,overall,3260,73631,2010,3260000
Sarawak,01/01/2010,both,overall,overall,2487.1,124450,2010,2487100
Selangor,01/01/2010,both,overall,overall,5502.1,8104,2010,5502100
Terengganu,01/01/2010,both,overall,overall,1055.4,13035,2010,1055400
Kuala Lumpur,01/01/2010,both,overall,overall,1674.8,243,2010,1674800
Labuan,01/01/2010,both,overall,overall,88.2,91,2010,88200
Putrajaya,01/01/2010,both,overall,overall,73.4,49,2010,73400
Johor,01/01/2011,both,overall,overall,3410.5,19210,2011,3410500
Kedah,01/01/2011,both,overall,overall,1971.8,9500,2011,1971800
Kelantan,01/01/2011,both,overall,overall,1618.8,15099,2011,1618800
Melaka,01/01/2011,both,overall,overall,833.2,1664,2011,833200
Negeri Sembilan,01/01/2011,both,overall,overall,1047.4,6686,2011,1047400
Pahang,01/01/2011,both,overall,overall,1526.8,36137,2011,1526800
Perak,01/01/2011,both,overall,overall,2402.7,21035,2011,2402700
Perlis,01/01/2011,both,overall,overall,237.3,821,2011,237300
Pulau Pinang,01/01/2011,both,overall,overall,1601,1048,2011,1601000
Sabah,01/01/2011,both,overall,overall,3345.5,73631,2011,3345500
Sarawak,01/01/2011,both,overall,overall,2527.9,124450,2011,2527900
Selangor,01/01/2011,both,overall,overall,5600.3,8104,2011,5600300
Terengganu,01/01/2011,both,overall,overall,1079,13035,2011,1079000
Kuala Lumpur,01/01/2011,both,overall,overall,1693,243,2011,1693000
Labuan,01/01/2011,both,overall,overall,89.4,91,2011,89400
Putrajaya,01/01/2011,both,overall,overall,77.5,49,2011,77500
Johor,01/01/2012,both,overall,overall,3450.4,19210,2012,3450400
Kedah,01/01/2012,both,overall,overall,2001.1,9500,2012,2001100
Kelantan,01/01/2012,both,overall,overall,1651,15099,2012,1651000
Melaka,01/01/2012,both,overall,overall,843.2,1664,2012,843200
Negeri Sembilan,01/01/2012,both,overall,overall,1057.7,6686,2012,1057700
Pahang,01/01/2012,both,overall,overall,1547.1,36137,2012,1547100
Perak,01/01/2012,both,overall,overall,2427,21035,2012,2427000
