date,sex,age,ethnicity,population,year
01/01/2006,female,45-49,other_citizen,5.7,2006
01/01/2006,female,50-54,overall,574,2006
01/01/2006,female,50-54,bumi_malay,279.2,2006
01/01/2006,female,50-54,bumi_other,49.1,2006
01/01/2006,female,50-54,chinese,174.2,2006
01/01/2006,female,50-54,indian,48.5,2006
01/01/2006,female,50-54,other_citizen,4.2,2006
01/01/2006,female,55-59,overall,441.2,2006
01/01/2006,female,55-59,bumi_malay,210.2,2006
01/01/2006,female,55-59,bumi_other,37.1,2006
01/01/2006,female,55-59,chinese,143.5,2006
01/01/2006,female,55-59,indian,35.5,2006
01/01/2006,female,55-59,other_citizen,3,2006
01/01/2006,female,60-64,overall,309.5,2006
01/01/2006,female,60-64,bumi_malay,144.8,2006
01/01/2006,female,60-64,bumi_other,28.5,2006
01/01/2006,female,60-64,chinese,105.1,2006
01/01/2006,female,60-64,indian,21.9,2006
01/01/2006,female,60-64,other_citizen,2.1,2006
01/01/2006,female,65-69,overall,245.6,2006
01/01/2006,female,65-69,bumi_malay,116.6,2006
01/01/2006,female,65-69,bumi_other,21.9,2006
01/01/2006,female,65-69,chinese,83.6,2006
01/01/2006,female,65-69,indian,17,2006
01/01/2006,female,65-69,other_citizen,1.5,2006
01/01/2006,female,70-74,overall,170.2,2006
01/01/2006,female,70-74,bumi_malay,79.2,2006
01/01/2006,female,70-74,bumi_other,16.1,2006
01/01/2006,female,70-74,chinese,57.8,2006
01/01/2006,female,70-74,indian,12.2,2006
01/01/2006,female,70-74,other_citizen,1,2006
01/01/2006,female,75-79,overall,115.6,2006
01/01/2006,female,75-79,bumi_malay,55.5,2006
01/01/2006,female,75-79,bumi_other,10.2,2006
01/01/2006,female,75-79,chinese,39.3,2006
01/01/2006,female,75-79,indian,6.8,2006
01/01/2006,female,75-79,other_citizen,0.8,2006
01/01/2006,female,80-84,overall,59.6,2006
01/01/2006,female,80-84,bumi_malay,28,2006
01/01/2006,female,80-84,bumi_other,5.1,2006
01/01/2006,female,80-84,chinese,20.6,2006
01/01/2006,female,80-84,indian,3.4,2006
01/01/2006,female,80-84,other_citizen,0.4,2006
01/01/2006,female,85+,overall,49.8,2006
01/01/2006,female,85+,bumi_malay,23.1,2006
01/01/2006,female,85+,bumi_other,3.7,2006
01/01/2006,female,85+,chinese,17.8,2006
01/01/2006,female,85+,indian,2.6,2006
01/01/2006,female,85+,other_citizen,0.4,2006
01/01/2006,male,0-4,overall,1296.6,2006
01/01/2006,male,0-4,bumi_malay,744.4,2006
01/01/2006,male,0-4,bumi_other,176.9,2006
01/01/2006,male,0-4,chinese,241.4,2006
01/01/2006,male,0-4,indian,82.5,2006
01/01/2006,male,0-4,other_citizen,20.6,2006
01/01/2006,male,5-9,overall,1398.4,2006
01/01/2006,male,5-9,bumi_malay,787.7,2006
01/01/2006,male,5-9,bumi_other,182.8,2006
01/01/2006,male,5-9,chinese,274.2,2006
01/01/2006,male,5-9,indian,91.5,2006
01/01/2006,male,5-9,other_citizen,20.2,2006
01/01/2006,male,10-14,overall,1412.8,2006
01/01/2006,male,10-14,bumi_malay,772.3,2006
01/01/2006,male,10-14,bumi_other,183.6,2006
01/01/2006,male,10-14,chinese,277.1,2006
01/01/2006,male,10-14,indian,90,2006
01/01/2006,male,10-14,other_citizen,18.4,2006
01/01/2006,male,15-19,overall,1420.3,2006
01/01/2006,male,15-19,bumi_malay,721.8,2006
01/01/2006,male,15-19,bumi_other,163.5,2006
01/01/2006,male,15-19,chinese,270.9,2006
01/01/2006,male,15-19,indian,92.4,2006
01/01/2006,male,15-19,other_citizen,16.3,2006
01/01/2006,male,20-24,overall,1388.3,2006
01/01/2006,male,20-24,bumi_malay,654.7,2006
01/01/2006,male,20-24,bumi_other,150.3,2006
01/01/2006,male,20-24,chinese,267.2,2006
01/01/2006,male,20-24,indian,89.5,2006
01/01/2006,male,20-24,other_citizen,13.6,2006
01/01/2006,male,25-29,overall,1163.8,2006
01/01/2006,male,25-29,bumi_malay,518.1,2006
01/01/2006,male,25-29,bumi_other,119,2006
01/01/2006,male,25-29,chinese,250.8,2006
01/01/2006,male,25-29,indian,78.6,2006
01/01/2006,male,25-29,other_citizen,8.9,2006
01/01/2006,male,30-34,overall,1014.8,2006
01/01/2006,male,30-34,bumi_malay,440.3,2006
01/01/2006,male,30-34,bumi_other,103.8,2006
01/01/2006,male,30-34,chinese,240,2006
01/01/2006,male,30-34,indian,70.3,2006
01/01/2006,male,30-34,other_citizen,6.8,2006
01/01/2006,male,35-39,overall,932.5,2006
01/01/2006,male,35-39,bumi_malay,414,2006
01/01/2006,male,35-39,bumi_other,98.3,2006
01/01/2006,male,35-39,chinese,235.3,2006
01/01/2006,male,35-39,indian,66.2,2006
01/01/2006,male,35-39,other_citizen,6.8,2006
01/01/2006,male,40-44,overall,863.7,2006
01/01/2006,male,40-44,bumi_malay,389.9,2006
01/01/2006,male,40-44,bumi_other,89.1,2006
01/01/2006,male,40-44,chinese,233.2,2006
01/01/2006,male,40-44,indian,65.4,2006
01/01/2006,male,40-44,other_citizen,6.7,2006
01/01/2006,male,45-49,overall,752.7,2006
01/01/2006,male,45-49,bumi_malay,343.3,2006
01/01/2006,male,45-49,bumi_other,73.6,2006
01/01/2006,male,45-49,chinese,219.4,2006
01/01/2006,male,45-49,indian,59.6,2006
01/01/2006,male,45-49,other_citizen,6.6,2006
01/01/2006,male,50-54,overall,611.2,2006
01/01/2006,male,50-54,bumi_malay,281.7,2006
01/01/2006,male,50-54,bumi_other,56,2006
01/01/2006,male,50-54,chinese,191.1,2006
01/01/2006,male,50-54,indian,48.2,2006
01/01/2006,male,50-54,other_citizen,5.7,2006
01/01/2006,male,55-59,overall,466.7,2006
01/01/2006,male,55-59,bumi_malay,213.2,2006
01/01/2006,male,55-59,bumi_other,39.3,2006
01/01/2006,male,55-59,chinese,158.5,2006
01/01/2006,male,55-59,indian,34.5,2006
01/01/2006,male,55-59,other_citizen,3.5,2006
01/01/2006,male,60-64,overall,325.7,2006
01/01/2006,male,60-64,bumi_malay,144.1,2006
01/01/2006,male,60-64,bumi_other,30.3,2006
01/01/2006,male,60-64,chinese,118,2006
01/01/2006,male,60-64,indian,20.9,2006
01/01/2006,male,60-64,other_citizen,2.3,2006
01/01/2006,male,65-69,overall,243.1,2006
01/01/2006,male,65-69,bumi_malay,107.6,2006
01/01/2006,male,65-69,bumi_other,21.7,2006
01/01/2006,male,65-69,chinese,90.4,2006
01/01/2006,male,65-69,indian,14.7,2006
01/01/2006,male,65-69,other_citizen,1.8,2006
01/01/2006,male,70-74,overall,155.8,2006
01/01/2006,male,70-74,bumi_malay,68.1,2006
01/01/2006,male,70-74,bumi_other,15.3,2006
01/01/2006,male,70-74,chinese,57.4,2006
01/01/2006,male,70-74,indian,9.6,2006
01/01/2006,male,70-74,other_citizen,1.2,2006
01/01/2006,male,75-79,overall,97.5,2006
01/01/2006,male,75-79,bumi_malay,44.8,2006
01/01/2006,male,75-79,bumi_other,9.7,2006
01/01/2006,male,75-79,chinese,33.2,2006
01/01/2006,male,75-79,indian,5.8,2006
01/01/2006,male,75-79,other_citizen,0.9,2006
01/01/2006,male,80-84,overall,47.2,2006
01/01/2006,male,80-84,bumi_malay,21.9,2006
01/01/2006,male,80-84,bumi_other,5.1,2006
01/01/2006,male,80-84,chinese,14.9,2006
01/01/2006,male,80-84,indian,2.7,2006
01/01/2006,male,80-84,other_citizen,0.5,2006
01/01/2006,male,85+,overall,36.1,2006
01/01/2006,male,85+,bumi_malay,17.3,2006
01/01/2006,male,85+,bumi_other,3.2,2006
01/01/2006,male,85+,chinese,11.1,2006
01/01/2006,male,85+,indian,1.9,2006
01/01/2006,male,85+,other_citizen,0.4,2006
01/01/2007,female,0-4,overall,1223.1,2007
01/01/2007,female,0-4,bumi_malay,703.7,2007
01/01/2007,female,0-4,bumi_other,171.9,2007
01/01/2007,female,0-4,chinese,222.1,2007
01/01/2007,female,0-4,indian,77.6,2007
01/01/2007,female,0-4,other_citizen,19.6,2007
01/01/2007,female,5-9,overall,1312.6,2007
01/01/2007,female,5-9,bumi_malay,743,2007
01/01/2007,female,5-9,bumi_other,176.9,2007
01/01/2007,female,5-9,chinese,254.5,2007
01/01/2007,female,5-9,indian,87.4,2007
01/01/2007,female,5-9,other_citizen,18.2,2007
01/01/2007,female,10-14,overall,1333.6,2007
01/01/2007,female,10-14,bumi_malay,740.7,2007
01/01/2007,female,10-14,bumi_other,180.5,2007
01/01/2007,female,10-14,chinese,258.7,2007
01/01/2007,female,10-14,indian,87.8,2007
01/01/2007,female,10-14,other_citizen,17,2007
01/01/2007,female,15-19,overall,1363.2,2007
01/01/2007,female,15-19,bumi_malay,715.7,2007
01/01/2007,female,15-19,bumi_other,170.3,2007
01/01/2007,female,15-19,chinese,261.4,2007
01/01/2007,female,15-19,indian,88.3,2007
01/01/2007,female,15-19,other_citizen,16.1,2007
01/01/2007,female,20-24,overall,1319.9,2007
01/01/2007,female,20-24,bumi_malay,659.5,2007
01/01/2007,female,20-24,bumi_other,154.4,2007
01/01/2007,female,20-24,chinese,260.9,2007
01/01/2007,female,20-24,indian,88,2007
01/01/2007,female,20-24,other_citizen,13.9,2007
01/01/2007,female,25-29,overall,1113.9,2007
01/01/2007,female,25-29,bumi_malay,535.2,2007
01/01/2007,female,25-29,bumi_other,124.8,2007
01/01/2007,female,25-29,chinese,240.7,2007
01/01/2007,female,25-29,indian,78.8,2007
01/01/2007,female,25-29,other_citizen,10.2,2007
01/01/2007,female,30-34,overall,962.7,2007
01/01/2007,female,30-34,bumi_malay,448.2,2007
01/01/2007,female,30-34,bumi_other,105.7,2007
01/01/2007,female,30-34,chinese,224.9,2007
01/01/2007,female,30-34,indian,70,2007
01/01/2007,female,30-34,other_citizen,8,2007
01/01/2007,female,35-39,overall,915.7,2007
01/01/2007,female,35-39,bumi_malay,429.9,2007
01/01/2007,female,35-39,bumi_other,98.5,2007
01/01/2007,female,35-39,chinese,228.5,2007
01/01/2007,female,35-39,indian,68.3,2007
01/01/2007,female,35-39,other_citizen,7.6,2007
01/01/2007,female,40-44,overall,832.6,2007
01/01/2007,female,40-44,bumi_malay,399.4,2007
01/01/2007,female,40-44,bumi_other,87.1,2007
01/01/2007,female,40-44,chinese,219.2,2007
01/01/2007,female,40-44,indian,65.7,2007
01/01/2007,female,40-44,other_citizen,7,2007
01/01/2007,female,45-49,overall,724.9,2007
01/01/2007,female,45-49,bumi_malay,352.1,2007
01/01/2007,female,45-49,bumi_other,71.5,2007
01/01/2007,female,45-49,chinese,201.2,2007
01/01/2007,female,45-49,indian,60.6,2007
01/01/2007,female,45-49,other_citizen,5.8,2007
01/01/2007,female,50-54,overall,595.8,2007
01/01/2007,female,50-54,bumi_malay,291.4,2007
01/01/2007,female,50-54,bumi_other,52.3,2007
01/01/2007,female,50-54,chinese,177.4,2007
01/01/2007,female,50-54,indian,50.3,2007
01/01/2007,female,50-54,other_citizen,4.3,2007
01/01/2007,female,55-59,overall,464.1,2007
01/01/2007,female,55-59,bumi_malay,223.2,2007
01/01/2007,female,55-59,bumi_other,38.6,2007
01/01/2007,female,55-59,chinese,148.8,2007
01/01/2007,female,55-59,indian,37.8,2007
01/01/2007,female,55-59,other_citizen,3.1,2007
01/01/2007,female,60-64,overall,329.8,2007
01/01/2007,female,60-64,bumi_malay,155.1,2007
01/01/2007,female,60-64,bumi_other,29.7,2007
01/01/2007,female,60-64,chinese,111,2007
01/01/2007,female,60-64,indian,23.9,2007
01/01/2007,female,60-64,other_citizen,2.2,2007
01/01/2007,female,65-69,overall,249.5,2007
01/01/2007,female,65-69,bumi_malay,118.2,2007
01/01/2007,female,65-69,bumi_other,22.8,2007
01/01/2007,female,65-69,chinese,84.9,2007
01/01/2007,female,65-69,indian,16.8,2007
01/01/2007,female,65-69,other_citizen,1.5,2007
01/01/2007,female,70-74,overall,179.8,2007
01/01/2007,female,70-74,bumi_malay,84.3,2007
01/01/2007,female,70-74,bumi_other,16.8,2007
01/01/2007,female,70-74,chinese,60.9,2007
01/01/2007,female,70-74,indian,12.8,2007
01/01/2007,female,70-74,other_citizen,1.1,2007
01/01/2007,female,75-79,overall,117.4,2007
01/01/2007,female,75-79,bumi_malay,55.5,2007
01/01/2007,female,75-79,bumi_other,11,2007
01/01/2007,female,75-79,chinese,39.9,2007
01/01/2007,female,75-79,indian,7.3,2007
01/01/2007,female,75-79,other_citizen,0.8,2007
01/01/2007,female,80-84,overall,65.8,2007
01/01/2007,female,80-84,bumi_malay,31.6,2007
01/01/2007,female,80-84,bumi_other,5.5,2007
01/01/2007,female,80-84,chinese,22.5,2007
01/01/2007,female,80-84,indian,3.6,2007
01/01/2007,female,80-84,other_citizen,0.5,2007
01/01/2007,female,85+,overall,50.2,2007
01/01/2007,female,85+,bumi_malay,23.4,2007
01/01/2007,female,85+,bumi_other,3.9,2007
01/01/2007,female,85+,chinese,17.6,2007
01/01/2007,female,85+,indian,2.7,2007
01/01/2007,female,85+,other_citizen,0.4,2007
01/01/2007,male,0-4,overall,1290.4,2007
01/01/2007,male,0-4,bumi_malay,740.4,2007
01/01/2007,male,0-4,bumi_other,180.5,2007
01/01/2007,male,0-4,chinese,236.8,2007
01/01/2007,male,0-4,indian,80.7,2007
01/01/2007,male,0-4,other_citizen,21.2,2007
01/01/2007,male,5-9,overall,1384.6,2007
01/01/2007,male,5-9,bumi_malay,784.6,2007
01/01/2007,male,5-9,bumi_other,184.4,2007
01/01/2007,male,5-9,chinese,269.3,2007
01/01/2007,male,5-9,indian,90.5,2007
01/01/2007,male,5-9,other_citizen,19.7,2007
01/01/2007,male,10-14,overall,1407.6,2007
01/01/2007,male,10-14,bumi_malay,775.7,2007
01/01/2007,male,10-14,bumi_other,185.8,2007
01/01/2007,male,10-14,chinese,277,2007
01/01/2007,male,10-14,indian,90.2,2007
01/01/2007,male,10-14,other_citizen,18.2,2007
01/01/2007,male,15-19,overall,1438.7,2007
01/01/2007,male,15-19,bumi_malay,733.5,2007
01/01/2007,male,15-19,bumi_other,168.7,2007
01/01/2007,male,15-19,chinese,273.5,2007
01/01/2007,male,15-19,indian,92.5,2007
01/01/2007,male,15-19,other_citizen,16.5,2007
01/01/2007,male,20-24,overall,1432.9,2007
01/01/2007,male,20-24,bumi_malay,670.2,2007
01/01/2007,male,20-24,bumi_other,153,2007
01/01/2007,male,20-24,chinese,268.7,2007
01/01/2007,male,20-24,indian,91.4,2007
01/01/2007,male,20-24,other_citizen,14.1,2007
01/01/2007,male,25-29,overall,1235.5,2007
01/01/2007,male,25-29,bumi_malay,547.7,2007
01/01/2007,male,25-29,bumi_other,126,2007
01/01/2007,male,25-29,chinese,256.1,2007
01/01/2007,male,25-29,indian,81.4,2007
01/01/2007,male,25-29,other_citizen,9.5,2007
01/01/2007,male,30-34,overall,1039.9,2007
01/01/2007,male,30-34,bumi_malay,450.5,2007
01/01/2007,male,30-34,bumi_other,105.3,2007
01/01/2007,male,30-34,chinese,242.6,2007
01/01/2007,male,30-34,indian,71.3,2007
01/01/2007,male,30-34,other_citizen,6.8,2007
01/01/2007,male,35-39,overall,946.8,2007
01/01/2007,male,35-39,bumi_malay,417.7,2007
01/01/2007,male,35-39,bumi_other,100.1,2007
01/01/2007,male,35-39,chinese,236.4,2007
01/01/2007,male,35-39,indian,66.1,2007
01/01/2007,male,35-39,other_citizen,6.6,2007
01/01/2007,male,40-44,overall,877.3,2007
01/01/2007,male,40-44,bumi_malay,396.7,2007
01/01/2007,male,40-44,bumi_other,91.6,2007
01/01/2007,male,40-44,chinese,234.4,2007
01/01/2007,male,40-44,indian,65.3,2007
01/01/2007,male,40-44,other_citizen,6.5,2007
01/01/2007,male,45-49,overall,776.4,2007
01/01/2007,male,45-49,bumi_malay,354.4,2007
01/01/2007,male,45-49,bumi_other,77.4,2007
01/01/2007,male,45-49,chinese,223.1,2007
01/01/2007,male,45-49,indian,61,2007
01/01/2007,male,45-49,other_citizen,6.5,2007
01/01/2007,male,50-54,overall,633.4,2007
01/01/2007,male,50-54,bumi_malay,291.9,2007
01/01/2007,male,50-54,bumi_other,59.7,2007
01/01/2007,male,50-54,chinese,195.3,2007
01/01/2007,male,50-54,indian,49.9,2007
01/01/2007,male,50-54,other_citizen,5.7,2007
01/01/2007,male,55-59,overall,489.7,2007
01/01/2007,male,55-59,bumi_malay,225.7,2007
01/01/2007,male,55-59,bumi_other,41.4,2007
01/01/2007,male,55-59,chinese,163.7,2007
01/01/2007,male,55-59,indian,36.7,2007
01/01/2007,male,55-59,other_citizen,3.7,2007
01/01/2007,male,60-64,overall,345.2,2007
01/01/2007,male,60-64,bumi_malay,153.6,2007
01/01/2007,male,60-64,bumi_other,31.4,2007
01/01/2007,male,60-64,chinese,124.1,2007
01/01/2007,male,60-64,indian,22.6,2007
01/01/2007,male,60-64,other_citizen,2.3,2007
01/01/2007,male,65-69,overall,250,2007
01/01/2007,male,65-69,bumi_malay,110.3,2007
01/01/2007,male,65-69,bumi_other,22.8,2007
01/01/2007,male,65-69,chinese,93.2,2007
01/01/2007,male,65-69,indian,14.8,2007
01/01/2007,male,65-69,other_citizen,1.8,2007
01/01/2007,male,70-74,overall,167,2007
01/01/2007,male,70-74,bumi_malay,72.9,2007
01/01/2007,male,70-74,bumi_other,16.1,2007
01/01/2007,male,70-74,chinese,62,2007
01/01/2007,male,70-74,indian,10.2,2007
01/01/2007,male,70-74,other_citizen,1.2,2007
01/01/2007,male,75-79,overall,99.2,2007
01/01/2007,male,75-79,bumi_malay,44.4,2007
01/01/2007,male,75-79,bumi_other,10.1,2007
01/01/2007,male,75-79,chinese,34.6,2007
01/01/2007,male,75-79,indian,6,2007
01/01/2007,male,75-79,other_citizen,0.8,2007
01/01/2007,male,80-84,overall,52.2,2007
01/01/2007,male,80-84,bumi_malay,24.2,2007
01/01/2007,male,80-84,bumi_other,5.5,2007
01/01/2007,male,80-84,chinese,16.7,2007
01/01/2007,male,80-84,indian,3,2007
01/01/2007,male,80-84,other_citizen,0.5,2007
01/01/2007,male,85+,overall,36.8,2007
01/01/2007,male,85+,bumi_malay,17.4,2007
01/01/2007,male,85+,bumi_other,3.4,2007
01/01/2007,male,85+,chinese,11.2,2007
01/01/2007,male,85+,indian,1.2,2007
01/01/2007,male,85+,other_citizen,0.4,2007
01/01/2008,female,0-4,overall,1223.6,2008
01/01/2008,female,0-4,bumi_malay,704,2008
01/01/2008,female,0-4,bumi_other,176.7,2008
01/01/2008,female,0-4,chinese,218.2,2008
01/01/2008,female,0-4,indian,76.1,2008
01/01/2008,female,0-4,other_citizen,20.3,2008
01/01/2008,female,5-9,overall,1299.3,2008
01/01/2008,female,5-9,bumi_malay,739.3,2008
01/01/2008,female,5-9,bumi_other,178.5,2008
01/01/2008,female,5-9,chinese,249.6,2008
01/01/2008,female,5-9,indian,85.6,2008
01/01/2008,female,5-9,other_citizen,17.9,2008
01/01/2008,female,10-14,overall,1325.7,2008
01/01/2008,female,10-14,bumi_malay,739.9,2008
01/01/2008,female,10-14,bumi_other,181.9,2008
01/01/2008,female,10-14,chinese,258.8,2008
01/01/2008,female,10-14,indian,88.3,2008
01/01/2008,female,10-14,other_citizen,16.6,2008
01/01/2008,female,15-19,overall,1376.5,2008
01/01/2008,female,15-19,bumi_malay,726.2,2008
01/01/2008,female,15-19,bumi_other,176,2008
01/01/2008,female,15-19,chinese,263.4,2008
01/01/2008,female,15-19,indian,88.6,2008
01/01/2008,female,15-19,other_citizen,16,2008
01/01/2008,female,20-24,overall,1354.4,2008
01/01/2008,female,20-24,bumi_malay,672.4,2008
01/01/2008,female,20-24,bumi_other,158.4,2008
01/01/2008,female,20-24,chinese,262.8,2008
01/01/2008,female,20-24,indian,89,2008
01/01/2008,female,20-24,other_citizen,14.2,2008
01/01/2008,female,25-29,overall,1178.6,2008
01/01/2008,female,25-29,bumi_malay,566.1,2008
01/01/2008,female,25-29,bumi_other,132.6,2008
01/01/2008,female,25-29,chinese,248,2008
01/01/2008,female,25-29,indian,81.8,2008
01/01/2008,female,25-29,other_citizen,10.7,2008
01/01/2008,female,30-34,overall,971.6,2008
01/01/2008,female,30-34,bumi_malay,454,2008
01/01/2008,female,30-34,bumi_other,106.4,2008
01/01/2008,female,30-34,chinese,225.7,2008
01/01/2008,female,30-34,indian,70.3,2008
01/01/2008,female,30-34,other_citizen,7.9,2008
01/01/2008,female,35-39,overall,924.5,2008
01/01/2008,female,35-39,bumi_malay,433.5,2008
01/01/2008,female,35-39,bumi_other,100,2008
01/01/2008,female,35-39,chinese,227.2,2008
01/01/2008,female,35-39,indian,67.8,2008
01/01/2008,female,35-39,other_citizen,7.3,2008
01/01/2008,female,40-44,overall,851.1,2008
01/01/2008,female,40-44,bumi_malay,407.8,2008
01/01/2008,female,40-44,bumi_other,89.3,2008
01/01/2008,female,40-44,chinese,222.8,2008
01/01/2008,female,40-44,indian,66.3,2008
01/01/2008,female,40-44,other_citizen,6.9,2008
01/01/2008,female,45-49,overall,741.6,2008
01/01/2008,female,45-49,bumi_malay,361.1,2008
01/01/2008,female,45-49,bumi_other,75,2008
01/01/2008,female,45-49,chinese,202.5,2008
01/01/2008,female,45-49,indian,61.4,2008
01/01/2008,female,45-49,other_citizen,5.8,2008
01/01/2008,female,50-54,overall,619,2008
01/01/2008,female,50-54,bumi_malay,304.2,2008
01/01/2008,female,50-54,bumi_other,55.7,2008
01/01/2008,female,50-54,chinese,180.7,2008
01/01/2008,female,50-54,indian,52.3,2008
01/01/2008,female,50-54,other_citizen,4.4,2008
01/01/2008,female,55-59,overall,483.7,2008
01/01/2008,female,55-59,bumi_malay,235.3,2008
01/01/2008,female,55-59,bumi_other,39.8,2008
01/01/2008,female,55-59,chinese,152.5,2008
01/01/2008,female,55-59,indian,39.5,2008
01/01/2008,female,55-59,other_citizen,3.1,2008
01/01/2008,female,60-64,overall,355.1,2008
01/01/2008,female,60-64,bumi_malay,167.8,2008
01/01/2008,female,60-64,bumi_other,31.1,2008
01/01/2008,female,60-64,chinese,118.5,2008
01/01/2008,female,60-64,indian,26.7,2008
01/01/2008,female,60-64,other_citizen,2.2,2008
01/01/2008,female,65-69,overall,252.1,2008
01/01/2008,female,65-69,bumi_malay,119,2008
01/01/2008,female,65-69,bumi_other,23.8,2008
01/01/2008,female,65-69,chinese,85.5,2008
01/01/2008,female,65-69,indian,16.5,2008
01/01/2008,female,65-69,other_citizen,1.6,2008
01/01/2008,female,70-74,overall,191.4,2008
01/01/2008,female,70-74,bumi_malay,90.9,2008
01/01/2008,female,70-74,bumi_other,17.3,2008
01/01/2008,female,70-74,chinese,64.8,2008
01/01/2008,female,70-74,indian,13.4,2008
01/01/2008,female,70-74,other_citizen,1.1,2008
01/01/2008,female,75-79,overall,117.6,2008
01/01/2008,female,75-79,bumi_malay,54.7,2008
01/01/2008,female,75-79,bumi_other,11.5,2008
01/01/2008,female,75-79,chinese,39.9,2008
01/01/2008,female,75-79,indian,7.8,2008
01/01/2008,female,75-79,other_citizen,0.8,2008
01/01/2008,female,80-84,overall,72.4,2008
01/01/2008,female,80-84,bumi_malay,35.1,2008
01/01/2008,female,80-84,bumi_other,6.1,2008
01/01/2008,female,80-84,chinese,24.6,2008
01/01/2008,female,80-84,indian,3.9,2008
01/01/2008,female,80-84,other_citizen,0.5,2008
01/01/2008,female,85+,overall,50.5,2008
01/01/2008,female,85+,bumi_malay,23.5,2008
01/01/2008,female,85+,bumi_other,4,2008
01/01/2008,female,85+,chinese,17.3,2008
01/01/2008,female,85+,indian,2.9,2008
01/01/2008,female,85+,other_citizen,0.4,2008
01/01/2008,male,0-4,overall,1288.9,2008
01/01/2008,male,0-4,bumi_malay,739.5,2008
01/01/2008,male,0-4,bumi_other,185,2008
01/01/2008,male,0-4,chinese,232.7,2008
01/01/2008,male,0-4,indian,79.1,2008
01/01/2008,male,0-4,other_citizen,22,2008
01/01/2008,male,5-9,overall,1371.6,2008
01/01/2008,male,5-9,bumi_malay,780,2008
01/01/2008,male,5-9,bumi_other,187.2,2008
01/01/2008,male,5-9,chinese,264.4,2008
01/01/2008,male,5-9,indian,89.1,2008
01/01/2008,male,5-9,other_citizen,19.5,2008
01/01/2008,male,10-14,overall,1395.3,2008
01/01/2008,male,10-14,bumi_malay,776.1,2008
01/01/2008,male,10-14,bumi_other,186.9,2008
01/01/2008,male,10-14,chinese,275.2,2008
01/01/2008,male,10-14,indian,90.4,2008
01/01/2008,male,10-14,other_citizen,17.9,2008
01/01/2008,male,15-19,overall,1451.8,2008
01/01/2008,male,15-19,bumi_malay,745.5,2008
01/01/2008,male,15-19,bumi_other,175,2008
01/01/2008,male,15-19,chinese,277.1,2008
01/01/2008,male,15-19,indian,92.2,2008
01/01/2008,male,15-19,other_citizen,16.6,2008
01/01/2008,male,20-24,overall,1464.2,2008
01/01/2008,male,20-24,bumi_malay,680.5,2008
01/01/2008,male,20-24,bumi_other,155.2,2008
01/01/2008,male,20-24,chinese,268.9,2008
01/01/2008,male,20-24,indian,92.9,2008
01/01/2008,male,20-24,other_citizen,14.5,2008
01/01/2008,male,25-29,overall,1320,2008
01/01/2008,male,25-29,bumi_malay,580.1,2008
01/01/2008,male,25-29,bumi_other,133.5,2008
01/01/2008,male,25-29,chinese,261.6,2008
01/01/2008,male,25-29,indian,84.4,2008
01/01/2008,male,25-29,other_citizen,10.3,2008
01/01/2008,male,30-34,overall,1069,2008
01/01/2008,male,30-34,bumi_malay,461.5,2008
01/01/2008,male,30-34,bumi_other,107,2008
01/01/2008,male,30-34,chinese,245.3,2008
01/01/2008,male,30-34,indian,72.7,2008
01/01/2008,male,30-34,other_citizen,6.8,2008
01/01/2008,male,35-39,overall,965.4,2008
01/01/2008,male,35-39,bumi_malay,423.5,2008
01/01/2008,male,35-39,bumi_other,101.7,2008
01/01/2008,male,35-39,chinese,238.1,2008
01/01/2008,male,35-39,indian,66.3,2008
01/01/2008,male,35-39,other_citizen,6.2,2008
01/01/2008,male,40-44,overall,887.9,2008
01/01/2008,male,40-44,bumi_malay,401.3,2008
01/01/2008,male,40-44,bumi_other,93.8,2008
01/01/2008,male,40-44,chinese,234.7,2008
01/01/2008,male,40-44,indian,64.7,2008
01/01/2008,male,40-44,other_citizen,6.4,2008
01/01/2008,male,45-49,overall,799.9,2008
01/01/2008,male,45-49,bumi_malay,365.7,2008
01/01/2008,male,45-49,bumi_other,81.3,2008
01/01/2008,male,45-49,chinese,227,2008
01/01/2008,male,45-49,indian,62.3,2008
01/01/2008,male,45-49,other_citizen,6.3,2008
01/01/2008,male,50-54,overall,657,2008
01/01/2008,male,50-54,bumi_malay,302.5,2008
01/01/2008,male,50-54,bumi_other,63.7,2008
01/01/2008,male,50-54,chinese,199.8,2008
01/01/2008,male,50-54,indian,51.5,2008
01/01/2008,male,50-54,other_citizen,5.8,2008
01/01/2008,male,55-59,overall,509.8,2008
01/01/2008,male,55-59,bumi_malay,236.9,2008
01/01/2008,male,55-59,bumi_other,43.6,2008
01/01/2008,male,55-59,chinese,167.7,2008
01/01/2008,male,55-59,indian,38.4,2008
01/01/2008,male,55-59,other_citizen,3.9,2008
01/01/2008,male,60-64,overall,368.7,2008
01/01/2008,male,60-64,bumi_malay,165.3,2008
01/01/2008,male,60-64,bumi_other,32.5,2008
01/01/2008,male,60-64,chinese,131.4,2008
01/01/2008,male,60-64,indian,24.9,2008
01/01/2008,male,60-64,other_citizen,2.4,2008
01/01/2008,male,65-69,overall,254.7,2008
01/01/2008,male,65-69,bumi_malay,111.5,2008
01/01/2008,male,65-69,bumi_other,24.2,2008
01/01/2008,male,65-69,chinese,95,2008
01/01/2008,male,65-69,indian,14.7,2008
01/01/2008,male,65-69,other_citizen,1.8,2008
01/01/2008,male,70-74,overall,180,2008
